Country,Cases,Death,Recov.
United States,2135309.00,117426.00,654402.00
Brazil,867882.00,43389.00,437512.00
Russia,528964.00,6948.00,280050.00
India,332424.00,9520.00,169798.00
Spain,243928.00,27136.00,150376.00
Italy,236989.00,34345.00,176370.00
Peru,229736.00,6688.00,115579.00
Iran,187427.00,8837.00,148674.00
Germany,187423.00,8867.00,172199.00
Turkey,178239.00,4807.00,151417.00
France,157220.00,29407.00,72859.00
Mexico,146837.00,17141.00,108110.00
Pakistan,144478.00,2729.00,53721.00
Saudi Arabia,127541.00,972.00,84720.00
Canada,98787.00,8146.00,60272.00
Bangladesh,87520.00,1171.00,18730.00
China,83181.00,4634.00,78370.00
Qatar,79602.00,73.00,56898.00
South Africa,70038.00,1480.00,38531.00
Belgium,60029.00,9655.00,16589.00
Belarus,53973.00,308.00,30103.00
